"","Beschreibung","Deutsche Singularform","Deutsche Pluralform","Beispielsatz","","Nomen:","64","Karteikarten:","116"
"2","kraj","das Land","die Länder","Dänemark ist ein kleines Land in Europa.","","","","",""
"6","świat","die Welt","die Welten","Eine Reise um die Welt ist teuer.","","","","",""
"10","człowiek","der Mensch","die Menschen","Stammt der Mensch vom Affen ab?","","","","",""
"14","droga, ulica","die Straße","die Straßen","Die Straße wird neu gebaut.","","","","",""
"18","ból","der Schmerz","die Schmerzen","Durch das Lange Sitzen bekomme ich Schmerzen in der Schulter","","","","",""
"22","ręka","die Hand","die Hände","Ich habe mir die linke Hand gebrochen.","","","","",""
"26","wróbel","der Spatz","die Spatzen","-","","","","",""
"30","rodzic","-","die Eltern","In den Ferien fahren wir mit den Eltern an die Ostsee.","","","","",""
"34","woda","das Wasser","-","Das Wasser ist zu kalt zum Baden.","","","","",""
"38","alternatywa","die Alternative","die Alternativen","Die Alternative zur Verkleinerung ist die Schließung der Fabrik.","","","","",""
"42","numer","die Nummer","die Nummern","Ziehen Sie eine Nummer und warten Sie!","","","","",""
"46","telefon","das Telefon","die Telefone","Manche Leute haben gar kein Telefon mehr, sondern nur noch ein Handy.","","","","",""
"50","numer telefonu","die Telefonnummer","die Telefonnummern","-","","","","",""
"54","noc","die Nacht","die Nächte","Sie haben die ganze Nacht getanzt.","","","","",""
"58","szkoła","die Schule","die Schulen","Sie geht noch zur Schule.","","","","",""
"62","kuchnia","die Küche","die Küchen","In der Küche duftet es nach Gewürzen.","","","","",""
"66","ojciec","der Vater","die Väter","Der Vater von Andrea ist gerade vierzig geworden.","","","","",""
"70","stół","der Tisch","die Tische","Auf dem Tisch liegt eine Tischdecke.","","","","",""
"74","poranek","der Morgen","die Morgen","Am Morgen scheint die Sonne ins Schlafzimmer.","","","","",""
"78","gazeta","die Zeitung","die Zeitungen","Beim Frühstück lese ich immer die Zeitung.","","","","",""
"82","matka","die Mutter","die Mütter","Meine Mutter ist Chefin eines Konzerns.","","","","",""
"86","bułka","das Brötchen","die Brötchen","-","","","","",""
"90","dżem","die Marmelade","die Marmeladen","-","","","","",""
"94","cynamonowa bułeczka","die Zimtschnecke","die Zimtschnecken","-","","","","",""
"98","płatki śniadaniowe","das Müsli","-","-","","","","",""
"102","mleko","die Milch","-","Babys trinken nur Milch.","","","","",""
"106","banan","die Banane","die Bananen","-","","","","",""
"110","plaster, kromka","die Scheibe","die Scheiben","Die Erde ist keine Scheibe.","","","","",""
"114","chleb","das Brot","die Brote","Brot ist ein Grundnahrungsmittel.","","","","",""
"118","szynka","der Schinken","-","-","","","","",""
"122","ser","der Käse","-","In Frankreich isst man sehr viel Käse.","","","","",""
"126","masło","die Butter","-","Die Butter steht im Kühlschrank.","","","","",""
"130","jabłko","der Apfel","die Äpfel","Äpfel sind gesund.","","","","",""
"134","kiełbasa","die Wurst","die Würste","-","","","","",""
"138","miód","der Honig","-","-","","","","",""
"142","jajko","das Ei","die Eier","Die beiden Brüder ähneln sich wie ein Ei dem anderen.","","","","",""
"146","kawa","der Kaffee","-","Im Büro trinken wir oft Kaffee und essen Kuchen.","","","","",""
"150","herbata","der Tee","-","Vorsicht, der Tee ist sehr heiß.","","","","",""
"154","sok","der Saft","die Säfte","-","","","","",""
"158","jogurt","der Joghurt","-","-","","","","",""
"162","podróż, wycieczka","die Reise","die Reisen","Anschließend unternahm er eine Reise nach Italien","","","","",""
"166","jednostka, jedność","die Einheit","die Einheiten","Die Deutsche Einheit kam für viele überraschend.","","","","",""
"170","włos","das Haar","die Haare","Ich lasse mir heute meine Haare schneiden.","","","","",""
"174","bliskość, pobliże","die Nähe","-","Die Nähe zur Innenstadt macht die Wohnung attraktiv.","","","","",""
"178","zasada","das Prinzip","die Prinzipien","Ich esse aus Prinzip kein Fleisch.","","","","",""
"182","korzyść, zaleta","der Vorteil","die Vorteile","Der Vorteil dieser Methode ist offensichtlich.","","","","",""
"186","zmiana","die Änderung","die Änderungen","Man hat mich über diese Änderung nicht informiert.","","","","",""
"190","wyjątek","die Ausnahme","die Ausnahmen","Wir können bei Ihnen leider keine Ausnahme machen.","","","","",""
"194","budowa, budynek","der Bau","die Bauten","Der Bau der Autobahn verzögert sich um 3 Monate.","","","","",""
"198","hobby","das Hobby","die Hobbys","Was für Hobbys hast du?","","","","",""
"202","konflikt","der Konflikt","die Konflikte","Der Konflikt wurde friedlich gelöst.","","","","",""
"206","kierownictwo, zarząd","die Leitung","die Leitungen","Katharina hat die Leitung des Projektes übernommen.","","","","",""
"210","chęć, ochota","die Lust","die Lüste","Ich habe Lust auf ein Bier.","","","","",""
"214","większość","die Mehrheit","die Mehrheiten","Er muss die absolute Mehrheir erreichen, um im Amt zu bleiben.","","","","",""
"218","samochód (na A)","das Auto","die Autos","Mein Auto hat einen Totalschaden.","","","","",""
"222","dziecko (na B)","das Baby","die Babys","Maria bekam ihr Baby in Bethlehem.","","","","",""
"226","kino","das Kino","die Kinos","Das alternative Kino zeigt auch ältere und unbekannte Filme.","","","","",""
"230","strajk","der Streik","die Streiks","-","","","","",""
"234","hotel","das Hotel","die Hotels","Sie haben ein Zimmer in einem kleinen Hotel gebucht.","","","","",""
"238","park","der Park","die Parks","Durch Leipzig zieht sich ein riesiger Park.","","","","",""
"242","nauczyciel","der Lehrer","die Lehrer","Jakob mag seinen Lehrer.","","","","",""
"246","nauczycielka","die Lehrerin","die Lehrerinnen","Unsere Lehrerin ist sehr streng.","","","","",""
"250","samochód (na W)","der Wagen","die Wagen","Wo haben wir den Wagen geparkt?","","","","",""
"254","wujek","der Onkel","die Onkel","Ines hat einen Onkel in Berlin.","","","","",""
